45	4H	RC
3.285064	6.269996	7.063175
3.321935	3.000746	7.659965
8.561165	11.568431	6.457758
5.733637	6.252396	15.368944
3.92178	7.41465	3.721318
2.794167	2.659254	26.54499
2.410878	11.374722	5.363526
4.660666	5.573445	9.986182
0.92057	5.703951	10.606235
3.054694	8.623262	10.957019
4.775485	11.603409	14.819649
3.262063	7.427195	13.430354
7.827023	8.210091	9.366508
2.969144	14.270897	4.495051
8.118905	5.311621	25.228999
3.256028	7.650343	16.126714
2.380429	11.878066	18.481842
5.991165	13.869254	8.296248
2.456981	6.647516	8.131615
2.712281	5.431959	6.285064
2.123128	4.933804	10.292582
5.390044	3.5867	9.275116
2.828027	5.259291	7.677304
4.071236	5.774896	10.434666
3.378516	2.47393	13.248385
5.167775	3.434947	6.440004
1.339787	3.735706	8.920933
4.816188	5.904895	7.507206
5.560668	4.462391	6.992418
5.530485	4.46239	6.680765
2.561416	9.905299	6.234471
7.013055	2.749732	18.912204
10.813288	7.471198	8.887994
3.282282	6.251198	8.700475
2.650778	3.036224	16.578797
6.473343	6.395929	13.962317
8.584619	7.192259	11.123403
5.042785	2.131959	9.256248
3.502761	3.820086	17.144014
3.670205	10.104507	15.784347
3.449285	4.593929	10.736949
5.716001	6.487383	11.167926
7.12095	11.103803	9.171832
4.986132	11.049769	7.56263
8.606544	10.446494	10.436353
3.156335	11.080351	12.578507
10.304299	5.633448	11.310352
3.140053	6.745357	NA
3.139031	NA	NA
4.740347	NA	NA
6.689511	NA	NA
3.165611	NA	NA
4.276362	NA	NA
